epoch	train_loss	val_loss	val_mIoU	val_OA
16	0.336932	0.547070	0.542732	0.827293
17	0.340699	0.382136	0.701395	0.878269
18	0.352593	0.432525	0.598251	0.855740
19	0.356360	0.465654	0.588909	0.846410
20	0.343907	0.294378	0.748289	0.902752
21	0.340671	0.502900	0.668104	0.825860
22	0.357899	1.713433	0.383778	0.635456
23	0.338390	1.837565	0.351633	0.604762
24	0.310763	0.797807	0.510437	0.698130
25	0.318268	0.532994	0.598961	0.816265
26	0.340284	0.328845	0.734508	0.889450
27	0.342537	0.384295	0.632840	0.878526
28	0.349674	1.445149	0.443062	0.720771
29	0.343176	0.338264	0.710100	0.885210
30	0.302531	0.520448	0.618851	0.844213
31	0.298638	0.522569	0.599334	0.818991
32	0.310653	0.317913	0.723032	0.899737
33	0.298540	0.543425	0.562728	0.802937
34	0.311046	0.322713	0.693417	0.881944
35	0.324427	1.128701	0.424180	0.496098
36	0.312890	0.874066	0.600330	0.746860
37	0.308146	0.306699	0.754410	0.904644
38	0.287797	0.530037	0.673852	0.834830
39	0.295882	0.332351	0.739141	0.895471
40	0.291537	0.318870	0.708405	0.894827
41	0.294865	0.426877	0.654076	0.862147
42	0.297533	0.318920	0.757622	0.900378
43	0.280790	0.316872	0.763177	0.898430
44	0.277869	0.416062	0.702064	0.869269
45	0.262806	0.333137	0.709528	0.896483
46	0.277447	0.300402	0.725005	0.897260
47	0.257079	0.296245	0.749864	0.902097
48	0.285534	0.405889	0.695151	0.854348
49	0.261568	0.379133	0.741659	0.876515
50	0.278609	0.332035	0.723918	0.877792
51	0.258724	0.375156	0.709712	0.878591
52	0.248685	0.312458	0.769558	0.904254
53	0.235228	0.276911	0.773622	0.910519
54	0.246622	0.290559	0.778523	0.909524
55	0.244782	0.300669	0.766903	0.903583
56	0.253387	0.267807	0.777111	0.910589
57	0.244708	0.327085	0.744164	0.883156
58	0.267604	0.335585	0.740943	0.884255
59	0.273301	0.304353	0.759527	0.903388
60	0.247272	0.304294	0.773053	0.906290
61	0.245072	0.266785	0.768646	0.906454
62	0.236666	0.291123	0.765487	0.904316
